trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
373,False,"{'a': 0.6886652328439559, 'e': 0.02399283583670918}",20,13,15.374991182153,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
374,False,"{'a': 0.6879769118289795, 'e': 0.023754103131305}",25,5,35.7853045251649,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
375,False,"{'a': 0.6872892787909722, 'e': 0.023517745856009114}",20,8,7.763450356373823,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
376,False,"{'a': 0.686602333042301, 'e': 0.023283740374897003}",35,19,29.986992769219405,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.6859160738960202, 'e': 0.023052063287225574}",20,9,18.377785472077225,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
378,False,"{'a': 0.6852305006658703, 'e': 0.022822691425092974}",25,0,36.28803861104598,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
379,False,"{'a': 0.6845456126662782, 'e': 0.022595601851121867}",25,17,12.358483044329313,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
380,False,"{'a': 0.6838614092123558, 'e': 0.022370771856165594}",25,13,14.316425049527387,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
381,False,"{'a': 0.6831778896198997, 'e': 0.02214817895703732}",25,14,9.385019071456828,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
382,False,"{'a': 0.6824950532053901, 'e': 0.021927800894261613}",20,13,14.618613624925967,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
383,False,"{'a': 0.6818128992859905, 'e': 0.021709615629848574}",20,15,9.802695851724835,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
384,False,"{'a': 0.6811314271795471, 'e': 0.021493601345089926}",30,7,42.913686445439275,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,False,"{'a': 0.6804506362045877, 'e': 0.021279736438377172}",20,16,6.7702308233642166,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
386,False,"{'a': 0.679770525680321, 'e': 0.021067999523041437}",30,14,30.356944174008476,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
387,False,"{'a': 0.6790910949266368, 'e': 0.020858369425214723}",20,8,18.478797461644824,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
388,False,"{'a': 0.678412343264104, 'e': 0.02065082518171257}",20,7,20.103154114885847,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.6777342700139711, 'e': 0.02044534603793766}",30,21,20.695358849484034,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
390,False,"{'a': 0.6770568744981647, 'e': 0.020241911445804395}",20,16,9.69509633814762,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
391,False,"{'a': 0.6763801560392891, 'e': 0.020040501061684018}",20,10,5.364501080527587,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
392,False,"{'a': 0.675704113960626, 'e': 0.01984109474437029}",20,11,15.076923231030756,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
393,False,"{'a': 0.6750287475861332, 'e': 0.019643672553065296}",25,8,34.78692876813289,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,False,"{'a': 0.6743540562404442, 'e': 0.019448214745385394}",25,15,23.661853846182403,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.6736800392488677, 'e': 0.019254701775386924}",20,16,5.595385998003214,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.6730066959373865, 'e': 0.01906311429161164}",30,21,17.925732639081602,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.6723340256326573, 'e': 0.01887343313515149}",25,13,23.041945531930338,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.6716620276620098, 'e': 0.018685639337732776}",30,19,21.762159949427378,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.6709907013534459, 'e': 0.018499714119819245}",25,4,35.10939654054239,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.6703200460356393, 'e': 0.018315638888734186}",20,9,21.472101152921766,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.6696500610379346, 'e': 0.01813339523680108}",20,1,-15.958621423003795,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
402,False,"{'a': 0.6689807456903467, 'e': 0.017952964939502852}",25,7,-9.831387837593416,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
403,False,"{'a': 0.6683120993235603, 'e': 0.017774329953659445}",25,19,8.818129460032571,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'a': 0.6676441212689289, 'e': 0.017597472415623396}",25,13,24.940084799435674,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.6669768108584744, 'e': 0.017422374639493518}",35,21,24.374699551077185,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.6663101674248864, 'e': 0.017249019115346268}",20,14,12.946268292975983,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.6656441903015212, 'e': 0.0170773885074848}",20,7,24.054629778771147,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.6649788788224019, 'e': 0.016907465652705282}",25,11,26.54137927456697,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.6643142323222168, 'e': 0.016739233558580636}",25,3,39.98198736697473,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.6636502501363194, 'e': 0.016572675401761258}",25,13,23.993838190858888,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
411,False,"{'a': 0.6629869316007274, 'e': 0.01640777452629265}",25,17,17.71313023858315,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.6623242760521222, 'e': 0.016244514441949874}",35,17,31.63371140341766,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.6616622828278483, 'e': 0.016082878822588437}",25,15,18.63874643464561,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.6610009512659124, 'e': 0.0159228515045117}",25,14,19.237165767650254,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
415,False,"{'a': 0.6603402807049829, 'e': 0.01576441648485449}",20,8,19.008816860317584,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
416,False,"{'a': 0.659680270484389, 'e': 0.015607557919982834}",20,6,26.015857357464988,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.6590209199441207, 'e': 0.015452260123909519}",25,15,17.3174379854491,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.6583622284248272, 'e': 0.015298507566725522}",25,12,24.978825693427183,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.657704195267817, 'e': 0.015146284873046981}",25,12,25.99603741152573,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,False,"{'a': 0.6570468198150567, 'e': 0.014995576820477707}",20,14,8.125906289628183,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,False,"{'a': 0.6563901014091712, 'e': 0.014846368338086835}",20,10,21.123914026267002,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.6557340393934418, 'e': 0.014698644504901787}",35,27,11.686507500990778,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
